DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
141,120,94,65,39,140,121,93,65,39,Right
145,150,59,62,39,143,151,61,61,38,Right
147,127,62,63,38,147,127,64,61,37,Right
138,112,100,62,35,139,113,102,59,34,Left
106,115,99,63,34,106,117,102,61,34,Left
107,102,96,58,34,103,99,101,56,34,Left
93,100,98,61,36,92,99,97,61,37,Left
106,127,76,60,36,104,123,80,61,36,Left
94,107,87,63,37,91,105,91,64,37,Left
90,123,77,58,35,89,122,80,59,35,Left
86,135,62,63,35,86,136,66,64,35,Left
93,124,62,62,34,93,126,65,63,34,Left
103,140,67,69,33,105,139,66,70,33,Forward
97,144,83,71,30,97,146,85,71,30,Forward
96,145,83,72,29,95,145,85,72,30,Forward
110,130,100,62,34,110,131,99,61,34,Forward
103,133,106,67,34,106,133,107,65,35,Forward
90,143,117,69,37,88,144,118,67,38,Backward
97,118,80,70,32,93,114,82,70,33,Backward
110,116,78,66,32,105,114,77,66,31,Backward
133,127,86,67,36,129,125,83,67,35,Backward
134,129,93,69,38,129,127,91,68,38,Backward
138,124,88,69,38,136,124,86,68,38,Backward
155,99,100,68,38,150,99,101,68,37,Right
133,117,94,67,35,134,116,95,66,35,Right
133,111,85,71,36,129,108,85,72,35,Right
129,111,79,69,34,128,110,80,69,34,Right
93,122,63,71,33,91,120,63,71,32,Right
84,141,66,70,32,85,139,64,69,31,Right
86,151,63,72,34,83,149,63,71,34,Right
107,143,59,71,35,104,143,57,71,35,Right
130,159,63,77,34,126,155,62,78,35,Right
139,155,55,81,35,136,151,54,81,35,Right
124,159,51,81,37,123,151,51,81,36,Right
120,143,76,79,38,119,137,73,80,38,Right
120,147,143,74,32,119,147,142,74,32,Left
139,174,137,74,32,138,173,136,73,32,Left
152,193,143,80,33,153,194,143,80,33,Left
146,182,154,87,36,151,180,156,87,36,Forward
144,121,125,90,31,145,121,128,89,30,Forward
94,104,118,79,30,94,105,122,77,30,Forward
136,172,120,82,31,135,174,119,82,31,Forward
189,164,133,71,35,191,167,135,71,34,Forward
197,179,92,64,35,199,183,93,64,34,Forward
207,192,91,64,38,210,196,93,64,38,Forward
215,213,81,62,34,215,216,81,63,34,Forward
196,150,84,61,35,197,154,85,61,35,Forward
125,127,62,57,32,126,132,59,59,33,Forward
134,103,58,60,33,135,104,56,61,33,Forward
143,101,61,58,35,142,100,60,59,35,Backward
